"Common.Name","t50","t55","t60","t65","t70","t75","t80","t85","t90","t95"
"Alder Flycatcher",0.339612112240994,0.359813310920924,0.380429637629086,0.401929801482468,0.42490823572002,0.450207658165053,0.479168153312929,0.514231632393705,0.560803204089112,0.636024085509362
"American Bittern",0.738704864367048,0.756075269425376,0.77380263062852,0.792289976893012,0.81204844353831,0.83380265835372,0.858704919817449,0.888854954181122,0.928900452340392,0.993580632948304
"American Crow",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.256394455727777,0.275099037842093,0.305310067919377
"American Goldfinch",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.263284487921604,0.306480705680532
"American Kestrel",0.25,0.25,0.25,0.25,0.270519658244568,0.300152584367248,0.334073683359043,0.375143138104985,0.429691891004996,0.517797254945693
"American Redstart",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.294050996809696
"American Robin",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.316418937833852
"American Woodcock",0.542376216670455,0.566026755714447,0.590163305603415,0.615334607204039,0.642236592809722,0.671855873715125,0.705761352893876,0.746811896188714,0.801335530759795,0.889400324396054
"Baltimore Oriole",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Barn Swallow",0.25,0.25,0.25,0.25,0.25,0.25,0.261275942412492,0.305975657210817,0.365346148304949,0.461239426282811
"Barred Owl",0.58521682682161,0.620399160151079,0.65630447892785,0.693749085226356,0.733768241789477,0.777829622879131,0.828267114724172,0.889333540942549,0.970442418936652,1.10144682938745
"Bell1s Vireo",0.55511142986231,0.583174272921832,0.611813798231275,0.641681121132807,0.673602008797883,0.708747137204391,0.748978107808541,0.797687143651162,0.862382844546472,0.966877227456161
"Belted Kingfisher",0.495790598536741,0.545286582505929,0.595799692763316,0.648478337346876,0.704778967357947,0.766766368581478,0.837723950173065,0.923634762990834,1.03774213862622,1.2220446446267
"Black-and-white Warbler",0.25,0.25,0.256455963108438,0.28653896776416,0.318690366649463,0.354089289578197,0.394610781242481,0.443671561040532,0.508834450853432,0.614083422042873
"Black-billed Cuckoo",0.737725090563808,0.758334887300722,0.779368208622351,0.801303243956111,0.824746449801069,0.850557589150512,0.880103851620131,0.915876539577593,0.963390087737217,1.04013241877439
"Black-capped Chickadee",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.293516683431206,0.362993080997125,0.475209089015758
"Black-throated Blue Warbler",0.837201174045054,0.858325580292353,0.879884086181556,0.902366821133,0.92639538436094,0.952851006426668,0.983135014535278,1.01980091680581,1.06850083880828,1.14715936212551
"Black-throated Green Warbler",0.653114068920546,0.678656054913678,0.704722920368195,0.731907291587648,0.760960757906098,0.792948834651632,0.82956589748742,0.873899449458345,0.932783600382719,1.02789135760387
"Blackburnian Warbler",0.507253259006947,0.533250965310468,0.559782915978759,0.587452310958431,0.617024149446221,0.649582957702889,0.686853342455208,0.731977894001118,0.791912656398831,0.888717326955263
"Blackpoll Warbler",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.270416866828607,0.359284907802372,0.502821664857892
"Blue Grosbeak",0.648364193988215,0.665180193710769,0.682341756729748,0.70023904862424,0.719366890980807,0.740426783889,0.76453424830672,0.793721994233891,0.832489373789785,0.895105178977121
"Blue Jay",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.252730455332395,0.26118089482963,0.27482976868615
"Blue-winged Warbler",0.402552563335177,0.423153064373082,0.444176898972125,0.466102040880499,0.489534673065361,0.515334170738491,0.544867106867909,0.580623660161636,0.628115778141806,0.704823495853106
"Broad-winged Hawk",0.887004525895615,0.909584383741041,0.932628250282864,0.956660024394618,0.982344132888133,1.01062252227637,1.04299306988263,1.0821852181187,1.13424051865713,1.21831853978784
"Brown Creeper",0.694700572523674,0.735062469902797,0.77625379107702,0.819211014597954,0.865121815205565,0.91566993904002,0.973532868449672,1.04358953027635,1.13663930555637,1.28693026327402
"Brown Thrasher",0.391282376856951,0.421648502023609,0.452638641134449,0.484957350386297,0.519498172505162,0.557527867711977,0.601060830012006,0.653767702085056,0.723773358567003,0.836844208299449
"Brown-headed Cowbird",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.266963176466709,0.336168222361712,0.447945952024725
"Canada Goose",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
